machine_code,status_id
30568,1
57501,1
57502,1
57503,1
57504,1
57087,1
57088,1
57089,1
57090,1
57080,1
30334,1
52931,1
52932,1
52933,1
52934,1
53482,1
53483,1
53484,1
53485,1
53486,1
53487,1
53488,1
53489,1
53490,1
53491,1
53492,1
53493,1
53394,1
53395,1
59133,1
59134,1
59135,1
59136,1
7680,1
50228,1
50231,1
50581,1
50582,1
50583,1
50584,1
51976,1
51977,1
30329,1
29918,1
29919,1
29920,1
29921,1
29922,1
29923,1
29924,1
29925,1
29926,1
29927,1
29928,1
29929,1
29930,1
29931,1
29932,1
29933,1
29934,1
29935,1
29936,1
29937,1
30134,1
30135,1
31279,1
31407,1
31434,1
31435,1
33533,1
33534,1
39635,1
39636,1
39637,1
39638,1
39639,1
39640,1
57979,1
57980,1
57981,1
57982,1
57983,1
57984,1
54241,1
54242,1
54468,1
54469,1
56427,1
56428,1
52845,1
52846,1
52847,1
52848,1
52866,1
53054,1
53957,1
56369,1
56370,1
56371,1
56372,1
56373,1
56374,1
59775,1
59776,1
59599,1
30731,1
30733,1
47574,1
52038,1
47723,1
47724,1
59169,1
59170,1
59171,1
59172,1
57590,1
34208,1
51584,1
55173,1
59396,1
59397,1
59398,1
59399,1
55763,1
55764,1
55765,1
55766,1
55751,1
55656,1
55657,1
55615,1
52341,1
52343,1
53932,1
53933,1
52298,1
53925,1
40639,1
40640,1
40641,1
40642,1
56826,1
56827,1
56828,1
30867,1
28691,1
28698,1
30340,1
30418,1
32995,1
30336,1
30337,1
30338,1
30339,1
30335,1
58379,1
52714,1
52715,1
52716,1
52717,1
52749,1
52750,1
52761,1
54856,1
54857,1
54858,1
54859,1
54823,1
55065,1
55066,1
55067,1
55031,1
48309,1
48310,1
48311,1
48254,1
46606,1
46607,1
46534,1
57228,1
59211,1
52433,1
13438,1
22675,1
34601,1
6963,1
25659,1
30395,1
53907,1
12189,1
10746,1
17397,1
22850,1
22851,1
22852,1
55343,1
31817,1
31823,1
38909,1
38912,1
39580,1
39581,1
46648,1
38735,1
57477,1
57478,1
57479,1
57480,1
49378,1
49379,1
54211,1
54212,1
54213,1
54214,1
53578,1
53579,1
53580,1
53581,1
53582,1
53583,1
53915,1
53916,1
53917,1
53918,1
53919,1
53920,1
53408,1
53914,1
59113,1
59114,1
59115,1
59116,1
49400,1
50292,1
50293,1
50294,1
50295,1
49324,1
49327,1
49326,1
49328,1
10952,1
10951,1
7846,1
7847,1
49329,1
23559,1
23560,1
49344,1
49343,1
49348,1
49349,1
49347,1
49350,1
7099,1
7100,1
50618,1
50619,1
50620,1
39679,1
39680,1
39681,1
40039,1
40045,1
40047,1
40050,1
40069,1
40071,1
49630,1
49631,1
49632,1
49633,1
49634,1
49635,1
49636,1
49637,1
49638,1
49639,1
49640,1
49641,1
49642,1
49643,1
49644,1
49645,1
49646,1
49647,1
49648,1
49649,1
57988,1
57989,1
57990,1
57991,1
57992,1
57993,1
54361,1
54362,1
54365,1
54366,1
56437,1
56438,1
49650,1
49651,1
49652,1
49653,1
49654,1
50806,1
50807,1
52871,1
52872,1
56407,1
56408,1
56415,1
56416,1
56417,1
56418,1
59602,1
49493,1
49494,1
47598,1
47599,1
52054,1
59207,1
59208,1
57601,1
59438,1
59439,1
55646,1
55647,1
55630,1
52396,1
52397,1
52314,1
40643,1
40644,1
56859,1
56860,1
28697,1
36581,1
49470,1
49048,1
48988,1
49070,1
48987,1
49071,1
49506,1
49507,1
49508,1
49509,1
49510,1
49511,1
49512,1
26458,1
37536,1
50928,1
54067,1
50917,1
49413,1
49341,1
46786,1
58984,1
51879,1
49537,1
49538,1
54026,1
58392,1
49530,1
49531,1
50359,1
56507,1
49459,1
49460,1
49461,1
52752,1
52753,1
52754,1
52755,1
52773,1
54888,1
54889,1
54890,1
54891,1
54830,1
50386,1
50387,1
50383,1
48637,1
48638,1
48639,1
48640,1
48603,1
49317,1
57241,1
52445,1
49319,1
52164,1
52165,1
49320,1
49316,1
49415,1
49416,1
49417,1
49406,1
49732,1
49418,1
49419,1
49424,1
49425,1
49422,1
49423,1
49407,1
49429,1
56473,1
49440,1
49441,1
49405,1
49412,1
49446,1
49404,1
49410,1
49453,1
49454,1
49457,1
49411,1
49430,1
49431,1
49432,1
49433,1
49434,1
49435,1
49436,1
49437,1
29324,1
29325,1
29326,1
56657,1
56658,1
56659,1
49444,1
54099,1
49450,1
49451,1
56542,1
29584,1
29586,2
49532,1
51102,1
51623,1
56002,1
49293,1
49294,1
49295,1
49296,1
49297,1
31818,1
31824,1
48422,1
48425,1
38883,1
38884,1
46430,1
46431,1
46791,1
46429,1
57537,1
57538,1
57539,1
57540,1
25816,1
25817,1
46793,1
46792,1
45363,1
45379,1
45421,1
47464,1
46114,1
46115,1
57281,1
57282,1
57283,1
57284,1
57289,1
57302,1
57303,1
57304,1
53590,1
53591,1
53592,1
53593,1
53594,1
53595,1
53596,1
53597,1
53598,1
53599,1
53600,1
53601,1
53602,1
53603,1
53604,1
53605,1
53410,1
53411,1
39960,1
47177,1
47179,1
59149,1
59150,1
59151,1
59152,1
46858,1
50288,1
50289,1
50290,1
50291,1
46853,1
46855,1
46949,1
46944,1
46942,1
46935,1
46946,1
46940,1
46888,1
46925,1
46932,1
46923,1
46941,1
46920,1
46922,1
46910,1
46903,1
46900,1
46947,1
46924,1
46948,1
46933,1
46928,1
46936,1
46915,1
46934,1
46885,1
46876,1
46913,1
46881,1
46882,1
46917,1
46891,1
46899,1
46897,1
46926,1
46893,1
46914,1
46889,1
46908,1
46916,1
46904,1
46890,1
46905,1
46895,1
46896,1
55807,1
50614,1
50615,1
50616,1
50617,1
39641,1
39642,1
39644,1
40072,1
40073,1
46685,1
46686,1
46687,1
46688,1
46689,1
46690,1
46691,1
46692,1
46693,1
46694,1
46695,1
46696,1
46697,1
46698,1
46699,1
46700,1
46701,1
46702,1
46703,1
46704,1
46705,1
46706,1
46707,1
46708,1
46709,1
47415,1
47416,1
47417,1
47418,1
47419,1
47420,1
47421,1
47422,1
47423,1
47424,1
47425,1
47426,1
47427,1
47428,1
47429,1
47430,1
47431,1
47432,1
47433,1
47434,1
47435,1
47436,1
47437,1
47438,1
47439,1
47440,1
47441,1
47442,1
47443,1
47444,1
57582,1
57583,1
57584,1
57585,1
57586,1
57985,1
57986,1
57987,1
54253,1
54254,1
54255,1
54256,1
54355,1
54356,1
56435,1
56436,1
49683,1
49684,1
49685,1
49686,1
49687,1
50801,1
50802,1
50803,1
50804,1
50805,1
52073,1
52074,1
52075,1
52843,1
52869,1
52870,1
53041,1
53042,1
53055,1
53056,1
53948,1
53949,1
53951,1
53959,1
53961,1
53962,1
56411,1
56412,1
56413,1
56414,1
59600,1
59601,1
46750,1
46751,1
